matrix	variable_i	variable_j	supported_covariance_proxy	correlation	null_projection_i	null_projection_j	both_coordinates_resolved	interpretation
CC_ONLY	CC_FOURIER_1	CC_FOURIER_1	0.37274894350928844		0.6066502617021853	0.6066502617021853	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_1	CC_FOURIER_2	-0.26593217354409343		0.6066502617021853	0.823608555099501	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_1	CC_FOURIER_3	-0.10077165940012675		0.6066502617021853	0.9766321727925824	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_1	CC_FOURIER_4	-0.006041032716724302		0.6066502617021853	0.9999170000605162	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_2	CC_FOURIER_1	-0.2659321735440935		0.823608555099501	0.6066502617021853	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_2	CC_FOURIER_2	0.1897253423714227		0.823608555099501	0.823608555099501	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_2	CC_FOURIER_3	0.07189403721342272		0.823608555099501	0.9766321727925824	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_2	CC_FOURIER_4	0.004309884679175332		0.823608555099501	0.9999170000605162	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_3	CC_FOURIER_1	-0.10077165940012676		0.9766321727925824	0.6066502617021853	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_3	CC_FOURIER_2	0.07189403721342272		0.9766321727925824	0.823608555099501	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_3	CC_FOURIER_3	0.027243343046529943		0.9766321727925824	0.9766321727925824	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_3	CC_FOURIER_4	0.0016331767050054543		0.9766321727925824	0.9999170000605162	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_4	CC_FOURIER_1	-0.006041032716724302		0.9999170000605162	0.6066502617021853	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_4	CC_FOURIER_2	0.004309884679175331		0.9999170000605162	0.823608555099501	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_4	CC_FOURIER_3	0.001633176705005454		0.9999170000605162	0.9766321727925824	False	unit-normalized response covariance proxy; not statistical covariance
CC_ONLY	CC_FOURIER_4	CC_FOURIER_4	9.790524405235242e-05		0.9999170000605162	0.9999170000605162	False	unit-normalized response covariance proxy; not statistical covariance
COMBINED_4PLUS4	R_OG2P1-SG3O1	R_OG2P1-SG3O1	0.7002687200829024		0.003830953581483921	0.003830953581483921	False	unit-normalized combined response covariance proxy; not statistical covariance
COMBINED_4PLUS4	R_OG2P1-SG3O1	R_CG312-SG3O1	0.01477496424087787		0.003830953581483921	0.009989492373624429	False	unit-normalized combined response covariance proxy; not statistical covariance
COMBINED_4PLUS4	R_OG2P1-SG3O1	R_CG312-CG312	0.005501761104409415		0.003830953581483921	0.01764794909992817	False	unit-normalized combined response covariance proxy; not statistical covariance
COMBINED_4PLUS4	R_OG2P1-SG3O1	TH_CG312-CG312-SG3O1	0.1744516202560006		0.003830953581483921	0.26311943039631186	False	unit-normalized combined response covariance proxy; not statistical covariance
COMBINED_4PLUS4	R_OG2P1-SG3O1	CC_FOURIER_1	-0.12691653336161254		0.003830953581483921	0.6170842624192351	False	unit-normalized combined response covariance proxy; not statistical covariance
COMBINED_4PLUS4	R_OG2P1-SG3O1	CC_FOURIER_2	0.09272164028701542		0.003830953581483921	0.8293542490001214	False	unit-normalized combined response covariance proxy; not statistical covariance
