ray_id	gap_id	left_source	right_source	amplitude_unit	qm_gap_kcal_mol	baseline_mm_gap_kcal_mol	cc180_300_defect_kcal_mol	mm_gap_derivative_h_kcal_per_unit_ray	mm_gap_derivative_2h_kcal_per_unit_ray	mm_gap_derivative_tight_kcal_per_unit_ray	ray_derivative_uncertainty_no_cancellation	predicted_change_lower	predicted_change_upper	predicted_h_change_at_amplitude_bound_kcal_mol	predicted_2h_change_at_amplitude_bound_kcal_mol	ray_amplitude_t_max	amplitude_movement_relative_to_2h	derivative_ratio_2h_to_h	numerically_supported	step_stable	local_leverage_category	interpretation
individual_CC_FOURIER_1_minus	CC150-180	T_CC_150	T_CC_180	kJ/mol	1.8654555202589649	4.627067085105397	-2.761611564846432	-0.08094167235872558	-0.08128275414199417	-0.0813746153799768	0.0007740248103198001	-0.16343139433809076	-0.16033529509681158	-0.16188334471745117	-0.16256550828398833	2.0	24.2672;0;0;0	1.004213920633576	False	True	UNIDENTIFIABLE_OR_INFEASIBLE	bounded first-order leverage only; no fit, nonlinear extrapolation, or candidate parameter
individual_CC_FOURIER_1_minus	CC210-180	T_CC_210	T_CC_180	kJ/mol	0.48197515441460453	1.5999628716727985	-1.117987717258194	-0.06157480901853264	-0.061788630416364815	-0.061908516716619705	0.0005475291017192348	-0.12424467624050375	-0.12205455983362681	-0.12314961803706528	-0.12357726083272963	2.0	24.2672;0;0;0	1.0034725466670602	False	True	UNIDENTIFIABLE_OR_INFEASIBLE	bounded first-order leverage only; no fit, nonlinear extrapolation, or candidate parameter
individual_CC_FOURIER_1_minus	CC270-300	T_CC_270	T_CC_300	kJ/mol	3.34029530481828	4.39352986975837	-1.05323456494009	0.2870042625116101	0.2872430900425798	0.2872510874885493	0.00048565251370881045	0.5730372199958026	0.5749798300506378	0.5740085250232202	0.5744861800851596	2.0	24.2672;0;0;0	1.0008321393169555	False	True	UNIDENTIFIABLE_OR_INFEASIBLE	bounded first-order leverage only; no fit, nonlinear extrapolation, or candidate parameter
individual_CC_FOURIER_1_minus	CC330-300	T_CC_330	T_CC_300	kJ/mol	3.1468149948959834	8.583554865532987	-5.436739870637004	-0.1858789637920095	-0.1854643221747126	-0.18539955423017052	0.0008940511849358907	-0.37354602995389075	-0.36996982521414723	-0.371757927584019	-0.3709286443494252	2.0	24.2672;0;0;0	0.9977692923995376	False	True	UNIDENTIFIABLE_OR_INFEASIBLE	bounded first-order leverage only; no fit, nonlinear extrapolation, or candidate parameter
individual_CC_FOURIER_1_minus	CC240-forward-300	T_CC_240	T_CC_300	kJ/mol	4.541551437447195	5.682696999692878	-1.1411455622456828	0.68185776077056	0.6819782727805833	0.6819536801932607	0.00021643143852398327	1.363282658664072	1.364148384418168	1.36371552154112	1.3639565455611666	2.0	24.2672;0;0;0	1.000176740688391	False	True	UNIDENTIFIABLE_OR_INFEASIBLE	bounded first-order leverage only; no fit, nonlinear extrapolation, or candidate parameter
individual_CC_FOURIER_1_minus	CC240-reverse-300	T_CC_240_FROM_REVERSE_QM	T_CC_300	kJ/mol	4.766854196058886	5.682708694981355	-0.9158544989224691	0.6817861527089651	0.6819123082046138	0.6819555378638044	0.0002955406562878134	1.3629812241053547	1.3641633867305059	1.3635723054179303	1.3638246164092276	2.0	24.2672;0;0;0	1.0001850367525762	False	True	UNIDENTIFIABLE_OR_INFEASIBLE	bounded first-order leverage only; no fit, nonlinear extrapolation, or candidate parameter
individual_CC_FOURIER_1_minus	CC180-300-defect	T_CC_180	T_CC_300	kJ/mol	0.9905817499942648	-2.6525646053718863	3.6431463553661514	0.9789555212540589	0.9794728394043248	0.9795672966092203	0.001129093511227183	1.9556528554856636	1.9601692295305722	1.9579110425081179	1.9589456788086497	2.0	24.2672;0;0;0	1.000528438870852	False	True	UNIDENTIFIABLE_OR_INFEASIBLE	bounded first-order leverage only; no fit, nonlinear extrapolation, or candidate parameter
individual_CC_FOURIER_1_plus	CC150-180	T_CC_150	T_CC_180	kJ/mol	1.8654555202589649	4.627067085105397	-2.761611564846432	0.08094167235872558	0.08128275414199417	0.0813746153799768	0.0007740248103198001	0.16033529509681158	0.16343139433809076	0.16188334471745117	0.16256550828398833	2.0	24.2672;0;0;0	1.004213920633576	False	True	UNIDENTIFIABLE_OR_INFEASIBLE	bounded first-order leverage only; no fit, nonlinear extrapolation, or candidate parameter
individual_CC_FOURIER_1_plus	CC210-180	T_CC_210	T_CC_180	kJ/mol	0.48197515441460453	1.5999628716727985	-1.117987717258194	0.06157480901853264	0.061788630416364815	0.061908516716619705	0.0005475291017192348	0.12205455983362681	0.12424467624050375	0.12314961803706528	0.12357726083272963	2.0	24.2672;0;0;0	1.0034725466670602	False	True	UNIDENTIFIABLE_OR_INFEASIBLE	bounded first-order leverage only; no fit, nonlinear extrapolation, or candidate parameter
individual_CC_FOURIER_1_plus	CC270-300	T_CC_270	T_CC_300	kJ/mol	3.34029530481828	4.39352986975837	-1.05323456494009	-0.2870042625116101	-0.2872430900425798	-0.2872510874885493	0.00048565251370881045	-0.5749798300506378	-0.5730372199958026	-0.5740085250232202	-0.5744861800851596	2.0	24.2672;0;0;0	1.0008321393169555	False	True	UNIDENTIFIABLE_OR_INFEASIBLE	bounded first-order leverage only; no fit, nonlinear extrapolation, or candidate parameter
