row_set	variable_id	row_count	norm_J_h	norm_J_2h	norm_J_tight	finite_difference_status	R_step	R_step_limit	R_step_pass	R_conv	R_conv_limit	R_conv_pass	uncertainty_column_norm	signal_at_or_below_uncertainty
FULL_PRIMARY_118	CC_FOURIER_1	118	1.035339434493856	1.0354734118301665	1.0354315726827417	PASS	0.009604293421001043	0.1	True	0.007469830876880794	0.05	True	0.017324915154944543	False
FULL_PRIMARY_118	CC_FOURIER_2	118	0.7390199612122178	0.7385748658665805	0.7386798584552431	PASS	0.019720410555839188	0.1	True	0.012822763212238669	0.05	True	0.02362557137710081	False
FULL_PRIMARY_118	CC_FOURIER_3	118	0.3109662813187718	0.3106736032932898	0.3107491069865289	PASS	0.024470139262490163	0.1	True	0.03012769898187637	0.05	True	0.016729878663142923	False
FULL_PRIMARY_118	CC_FOURIER_4	118	0.04900613808406789	0.04907703592158813	0.04898842077802823	REVIEW	0.07048742583225934	0.1	True	0.059981632387276745	0.05	False	0.005926295200870005	False
LOW_TIER_FULL_99	CC_FOURIER_1	99	0.9742273309824712	0.9743193062486168	0.9742794866067837	PASS	0.010203093024366727	0.1	True	0.007934421293532373	0.05	True	0.017316789335206955	False
LOW_TIER_FULL_99	CC_FOURIER_2	99	0.6935622322979619	0.6930905564683448	0.6931893605928532	PASS	0.021012378837937256	0.1	True	0.013661474192897725	0.05	True	0.023624245178897708	False
LOW_TIER_FULL_99	CC_FOURIER_3	99	0.2922396986598409	0.29192502302962947	0.29200526593485204	PASS	0.02603503001135787	0.1	True	0.032056387971384326	0.05	True	0.01672851337602886	False
LOW_TIER_FULL_99	CC_FOURIER_4	99	0.008584926363000761	0.008846457496647642	0.008407284033930066	REVIEW	0.39100456127497646	0.1	False	0.34237011310225746	0.05	False	0.005925737708620619	False
GEOMETRY_ONLY_92	CC_FOURIER_1	92	0.012775987895051263	0.010473355925781122	0.009953209106998656	UNIDENTIFIABLE		0.1			0.05		0.01731396075734043	True
GEOMETRY_ONLY_92	CC_FOURIER_2	92	0.012370537504778078	0.010235372354032228	0.007455518701434881	UNIDENTIFIABLE		0.1			0.05		0.023611822197449853	True
GEOMETRY_ONLY_92	CC_FOURIER_3	92	0.010656522306428	0.005676780333052429	0.005804721782809698	UNIDENTIFIABLE		0.1			0.05		0.016726155174378806	True
GEOMETRY_ONLY_92	CC_FOURIER_4	92	0.0023829273113461667	0.003243000317379005	0.0020420704194299357	UNIDENTIFIABLE		0.1			0.05		0.0059233010785067685	True
PES_ONLY_25	CC_FOURIER_1	25	0.40354100590738345	0.4037167120480958	0.40371479811701416	PASS	0.0007621908753411632	0.1	True	0.0007182043209306042	0.05	True	0.0005950334195427965	False
PES_ONLY_25	CC_FOURIER_2	25	0.29313845537373234	0.29312896535813787	0.2931742457365801	PASS	0.000397167913149188	0.1	True	0.0005484116186040663	0.05	True	0.0002696463390565739	False
PES_ONLY_25	CC_FOURIER_3	25	0.12142569853314802	0.12142713911026867	0.1214245759648466	PASS	0.0010268733405245155	0.1	True	0.0008713038798299945	0.05	True	0.0002243946162628318	False
PES_ONLY_25	CC_FOURIER_4	25	0.04825047862697979	0.048275251983575414	0.04826371607565423	PASS	0.0016576608649394066	0.1	True	0.0015727687636722058	0.05	True	0.00015382706995774195	False
A_BASIN_GEOMETRY_ONLY_46	CC_FOURIER_1	46	0.009894395784174682	0.008177621058191831	0.00799300244774119	UNIDENTIFIABLE		0.1			0.05		0.01019845325032632	True
A_BASIN_GEOMETRY_ONLY_46	CC_FOURIER_2	46	0.008308516043835064	0.008734042420093012	0.007071907984342642	REVIEW	0.6141071804674381	0.1	False	0.4176998947030238	0.05	False	0.008114226843898405	False
A_BASIN_GEOMETRY_ONLY_46	CC_FOURIER_3	46	0.007480827822891695	0.004683956417864873	0.005150790863523657	UNIDENTIFIABLE		0.1			0.05		0.01013390357330739	True
A_BASIN_GEOMETRY_ONLY_46	CC_FOURIER_4	46	0.0020076816874685537	0.0012827907041887902	0.0007714486266578076	UNIDENTIFIABLE		0.1			0.05		0.0035548949027985376	True
B_BASIN_GEOMETRY_ONLY_46	CC_FOURIER_1	46	0.00808249953669053	0.006543523376340308	0.005931128341053189	UNIDENTIFIABLE		0.1			0.05		0.013991597064225116	True
B_BASIN_GEOMETRY_ONLY_46	CC_FOURIER_2	46	0.009165083704279868	0.005336604747374784	0.0023606940861611125	UNIDENTIFIABLE		0.1			0.05		0.022173801437952497	True
B_BASIN_GEOMETRY_ONLY_46	CC_FOURIER_3	46	0.007589379602552969	0.0032072398141195003	0.0026765926952128176	UNIDENTIFIABLE		0.1			0.05		0.013306700014816097	True
B_BASIN_GEOMETRY_ONLY_46	CC_FOURIER_4	46	0.0012835718962967715	0.0029785061805823326	0.0018907455181326057	UNIDENTIFIABLE		0.1			0.05		0.004737955033207516	True
REMOVE_BONDS	CC_FOURIER_1	86	1.0353273635287679	1.0354675279734509	1.035429595181999	PASS	0.007197588497983049	0.1	True	0.006071528442794131	0.05	True	0.013341835639398014	False
REMOVE_BONDS	CC_FOURIER_2	86	0.7390036404421296	0.7385625897160608	0.7386789798651134	PASS	0.015836840282362083	0.1	True	0.010663233374309066	0.05	True	0.01910126929865938	False
REMOVE_BONDS	CC_FOURIER_3	86	0.31092830561094187	0.3106692456855083	0.31074733258506665	PASS	0.020020136004619406	0.1	True	0.024616629983129662	0.05	True	0.013609772477946223	False
