row_set	variable_id	row_count	norm_J_h	norm_J_2h	norm_J_h_tight	R_step	R_step_limit	R_step_pass	R_conv	R_conv_limit	R_conv_pass	elementwise_uncertainty_column_norm	signal_at_or_below_uncertainty	stability_status
FULL_PRIMARY_118	R_OG2P1-SG3O1	118	1.2449296818398712	1.244644227507304	1.2447497281896318	0.003330217839974764	0.1	True	0.003137321677258237	0.05	True	0.007547096745103698	False	PASS
FULL_PRIMARY_118	R_CG312-SG3O1	118	1.1071006136690038	1.1071668792328486	1.1074289932467125	0.00582897703438442	0.1	True	0.00506981942678364	0.05	True	0.01183460295648656	False	PASS
FULL_PRIMARY_118	R_CG312-CG312	118	1.4287089825755952	1.4292229281237634	1.428855867826616	0.006291808301250551	0.1	True	0.003730340033824158	0.05	True	0.014148635707432428	False	PASS
FULL_PRIMARY_118	R_CG302-CG312	118	1.2641105164178836	1.2638456470851416	1.2642847896672738	0.003985954133267915	0.1	True	0.0033108832863427452	0.05	True	0.008923835864454274	False	PASS
FULL_PRIMARY_118	TH_OG2P1-SG3O1-OG2P1	118	0.6173905095908958	0.6166351614975822	0.6173406028832259	0.003674384414320677	0.1	True	0.0034220362086502644	0.05	True	0.004161145533838423	False	PASS
FULL_PRIMARY_118	TH_FGA2-CG312-FGA2	118	1.1940861845284512	1.1932460006327028	1.194062529579903	0.0026645324313362994	0.1	True	0.0029696058359272946	0.05	True	0.006537073313012449	False	PASS
FULL_PRIMARY_118	TH_CG312-CG312-SG3O1	118	0.37441768218093524	0.37489298238881097	0.3746270141626251	0.00788894942707697	0.1	True	0.006608466087815552	0.05	True	0.005320528056413586	False	PASS
FULL_PRIMARY_118	TH_FGA3-CG302-FGA3	118	0.4591637257843876	0.45891044031652595	0.4591079924900964	0.00633833453669445	0.1	True	0.006941140320252683	0.05	True	0.005886097514271416	False	PASS
FULL_PRIMARY_118	LAMBDA_CS	118	0.8423335278140419	0.8422322977741461	0.842267139901293	0.005619717992613234	0.1	True	0.007234440545773844	0.05	True	0.010522126172640603	False	PASS
FULL_PRIMARY_118	LAMBDA_CC	118	0.1399637379388503	0.13990799731576725	0.13993994159289733	0.02730571454126268	0.1	True	0.025317971347924993	0.05	True	0.007084572710500656	False	PASS
LOW_TIER_FULL_99	R_OG2P1-SG3O1	99	1.2182162629961604	1.2179392603853212	1.2180243194688414	0.0034021590775232995	0.1	True	0.0032054842141783376	0.05	True	0.00754514337660305	False	PASS
LOW_TIER_FULL_99	R_CG312-SG3O1	99	1.0331854431002208	1.033231199214846	1.033534675762128	0.006244745840772994	0.1	True	0.005432140702921606	0.05	True	0.01183349448513805	False	PASS
LOW_TIER_FULL_99	R_CG312-CG312	99	1.1587307935845912	1.1594549203467575	1.1589056327575542	0.007754402615808188	0.1	True	0.0045991591906889805	0.05	True	0.014147326612822975	False	PASS
LOW_TIER_FULL_99	R_CG302-CG312	99	1.2403255650079892	1.240076925647671	1.2405066711101764	0.004047957426079415	0.1	True	0.0033740186974887706	0.05	True	0.00891255716603175	False	PASS
LOW_TIER_FULL_99	TH_OG2P1-SG3O1-OG2P1	99	0.39563638712641525	0.39506418700405815	0.395544174111878	0.0055632301213355915	0.1	True	0.00533446535702616	0.05	True	0.004120793324076006	False	PASS
LOW_TIER_FULL_99	TH_FGA2-CG312-FGA2	99	1.137456462530428	1.1366140689363364	1.1374311699258435	0.0027820259926401147	0.1	True	0.003117352929177317	0.05	True	0.006527882519801196	False	PASS
LOW_TIER_FULL_99	TH_CG312-CG312-SG3O1	99	0.30513236191654713	0.3057282159412361	0.30539549551024636	0.009670764499083256	0.1	True	0.00810583461554189	0.05	True	0.005319571058917161	False	PASS
LOW_TIER_FULL_99	TH_FGA3-CG302-FGA3	99	0.4294277962534356	0.4292132355524317	0.4293697746408135	0.006701926461790586	0.1	True	0.0074217024123713355	0.05	True	0.005869834550953684	False	PASS
LOW_TIER_FULL_99	LAMBDA_CS	99	0.1028858315644355	0.1026205133904226	0.10250632564141102	0.04598552256623128	0.1	True	0.059223283816875964	0.05	False	0.010519607804475884	False	STEP_OR_CONVERGENCE_REVIEW
LOW_TIER_FULL_99	LAMBDA_CC	99	0.02241509323539138	0.02194718684130907	0.022129500294915935	0.17045412634460722	0.1	False	0.1580523555115387	0.05	False	0.007082656809454877	False	STEP_OR_CONVERGENCE_REVIEW
GEOMETRY_ONLY_92	R_OG2P1-SG3O1	92	1.1757589879780712	1.175512793746082	1.1755908117972111	0.003522558830468759	0.1	True	0.003319589608461673	0.05	True	0.007540049157295224	False	PASS
GEOMETRY_ONLY_92	R_CG312-SG3O1	92	0.9867571979224584	0.9867904731820524	0.9871075255471543	0.006538404975306474	0.1	True	0.005687403195065723	0.05	True	0.01183304309103664	False	PASS
GEOMETRY_ONLY_92	R_CG312-CG312	92	1.1577220595998605	1.1584494891071933	1.1578955731081915	0.0077600260658352085	0.1	True	0.004602157532219002	0.05	True	0.0141448723522179	False	PASS
GEOMETRY_ONLY_92	R_CG302-CG312	92	1.2396571334356745	1.2394091601194248	1.239837770923866	0.004049430035899863	0.1	True	0.0033757254819576006	0.05	True	0.008911806817918762	False	PASS
GEOMETRY_ONLY_92	TH_OG2P1-SG3O1-OG2P1	92	0.39401066717681976	0.39343940258530524	0.3939179809480209	0.005583702119303053	0.1	True	0.00535640051557292	0.05	True	0.004120091411569852	False	PASS
GEOMETRY_ONLY_92	TH_FGA2-CG312-FGA2	92	0.4619062563639471	0.4618170795169416	0.46195030068591486	0.00657888408403412	0.1	True	0.007674986562887112	0.05	True	0.006460739363899344	False	PASS
GEOMETRY_ONLY_92	TH_CG312-CG312-SG3O1	92	0.1911590480957386	0.1921695205266347	0.19158448775725329	0.015382764272250476	0.1	True	0.012921006635235453	0.05	True	0.005319181664152504	False	PASS
GEOMETRY_ONLY_92	TH_FGA3-CG302-FGA3	92	0.4226312590012883	0.42243910449401434	0.4225952215211363	0.006800558869048939	0.1	True	0.007534025799665462	0.05	True	0.005862840263723389	False	PASS
GEOMETRY_ONLY_92	LAMBDA_CS	92	0.017709231160104533	0.016258842628052397	0.01619258040154462	0.2671182499687397	0.1	False	0.3439402463466038	0.05	False	0.010517108457444344	False	STEP_OR_CONVERGENCE_REVIEW
GEOMETRY_ONLY_92	LAMBDA_CC	92	0.009937230901130125	0.008816723716761659	0.009103576969572221	0.38448649429577525	0.1	False	0.35640815273688015	0.05	False	0.007082020509676558	False	STEP_OR_CONVERGENCE_REVIEW
