job_id	T_CC_target_deg	T_CS_target_deg	data_partition	seed_point	starting_geometry_source	starting_geometry_sha256	seed_checkpoint_source	seed_checkpoint_sha256	seed_actual_CC_deg	seed_actual_CS_deg	selection_reason	surface_region	minimum_probe	barrier_probe	cross_coupling	branch_ambiguity	extrapolation	start_preparation	constraints	launch_status
JOINT_CC060_CS030	60	30	FIT_DEVELOPMENT	T_CC_060	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/T_CC_060_sentinel_attempt04_offline_20260925/runtime/work/T_CC_060_recovery.chk	5dcf46494a4b42139e2eda37f34b943a2f34b496752744d229ae11f7b9b2eb59	60.0001592609087	176.13180381090714	Prespecified mixed junction response off adiabatic valley; no result-dependent selection	alternate CC basin/transition region; CS=30 interior off-valley	NO	MIXED_RESPONSE_NOT_ASSUMED_STATIONARY	YES	DIAGNOSTIC_NOT_FULL_BRANCH_SEARCH	YES_OFF_EXISTING_ADIABATIC_PATH	Use exact accepted seed independently; set both dihedrals offline under graph-preserving rotation and full geometry/grammar/hash gates in a future execution package. No rotated coordinates or launches prepared here.	D 16 14 15 1; D 14 15 1 11; both target angles fixed; other DOF relaxed	PROPOSED_NOT_AUTHORIZED
JOINT_CC060_CS090	60	90	FIT_DEVELOPMENT	T_CC_060	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/T_CC_060_sentinel_attempt04_offline_20260925/runtime/work/T_CC_060_recovery.chk	5dcf46494a4b42139e2eda37f34b943a2f34b496752744d229ae11f7b9b2eb59	60.0001592609087	176.13180381090714	Prespecified mixed junction response off adiabatic valley; no result-dependent selection	alternate CC basin/transition region; CS=90 interior off-valley	NO	MIXED_RESPONSE_NOT_ASSUMED_STATIONARY	YES	DIAGNOSTIC_NOT_FULL_BRANCH_SEARCH	YES_OFF_EXISTING_ADIABATIC_PATH	Use exact accepted seed independently; set both dihedrals offline under graph-preserving rotation and full geometry/grammar/hash gates in a future execution package. No rotated coordinates or launches prepared here.	D 16 14 15 1; D 14 15 1 11; both target angles fixed; other DOF relaxed	PROPOSED_NOT_AUTHORIZED
JOINT_CC180_CS030	180	30	FIT_DEVELOPMENT	T_CC_180	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_180.g96	237d0de9329d2f7154e75e1b94b8d20dc99d256df491b1962585edd08ac5d56b	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/execution_revision_20260924_v4d_candidate/run/T_CC_180/T_CC_180.chk	2ef0c951bc087de0f4a35f873d018f484714376c7af7df997e807b2cf9a7bf6f	-179.99987411198484	60.60521841479044	Prespecified mixed junction response off adiabatic valley; no result-dependent selection	alternate CC basin/transition region; CS=30 interior off-valley	NO	MIXED_RESPONSE_NOT_ASSUMED_STATIONARY	YES	DIAGNOSTIC_NOT_FULL_BRANCH_SEARCH	YES_OFF_EXISTING_ADIABATIC_PATH	Use exact accepted seed independently; set both dihedrals offline under graph-preserving rotation and full geometry/grammar/hash gates in a future execution package. No rotated coordinates or launches prepared here.	D 16 14 15 1; D 14 15 1 11; both target angles fixed; other DOF relaxed	PROPOSED_NOT_AUTHORIZED
JOINT_CC180_CS090	180	90	FIT_DEVELOPMENT	T_CC_180	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_180.g96	237d0de9329d2f7154e75e1b94b8d20dc99d256df491b1962585edd08ac5d56b	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/execution_revision_20260924_v4d_candidate/run/T_CC_180/T_CC_180.chk	2ef0c951bc087de0f4a35f873d018f484714376c7af7df997e807b2cf9a7bf6f	-179.99987411198484	60.60521841479044	Prespecified mixed junction response off adiabatic valley; no result-dependent selection	alternate CC basin/transition region; CS=90 interior off-valley	NO	MIXED_RESPONSE_NOT_ASSUMED_STATIONARY	YES	DIAGNOSTIC_NOT_FULL_BRANCH_SEARCH	YES_OFF_EXISTING_ADIABATIC_PATH	Use exact accepted seed independently; set both dihedrals offline under graph-preserving rotation and full geometry/grammar/hash gates in a future execution package. No rotated coordinates or launches prepared here.	D 16 14 15 1; D 14 15 1 11; both target angles fixed; other DOF relaxed	PROPOSED_NOT_AUTHORIZED
JOINT_CC300_CS030	300	30	FIT_DEVELOPMENT	T_CC_300	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_300.g96	fc6381c1ad4b27e5f9a79cad7e8361d93f1a8d0e253a0d934cd0410aba899c01	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_300/T_CC_300.chk	aa659645a6eb7c940f0c9c0e640a7d7ffef6bca233741f00560af43b40f2ff9a	-59.99998160172803	66.70207173706659	Prespecified mixed junction response off adiabatic valley; no result-dependent selection	sampled QM CC minimum vicinity; CS=30 interior off-valley	YES	MIXED_RESPONSE_NOT_ASSUMED_STATIONARY	YES	DIAGNOSTIC_NOT_FULL_BRANCH_SEARCH	YES_OFF_EXISTING_ADIABATIC_PATH	Use exact accepted seed independently; set both dihedrals offline under graph-preserving rotation and full geometry/grammar/hash gates in a future execution package. No rotated coordinates or launches prepared here.	D 16 14 15 1; D 14 15 1 11; both target angles fixed; other DOF relaxed	PROPOSED_NOT_AUTHORIZED
JOINT_CC300_CS090	300	90	FIT_DEVELOPMENT	T_CC_300	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_300.g96	fc6381c1ad4b27e5f9a79cad7e8361d93f1a8d0e253a0d934cd0410aba899c01	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_300/T_CC_300.chk	aa659645a6eb7c940f0c9c0e640a7d7ffef6bca233741f00560af43b40f2ff9a	-59.99998160172803	66.70207173706659	Prespecified mixed junction response off adiabatic valley; no result-dependent selection	sampled QM CC minimum vicinity; CS=90 interior off-valley	YES	MIXED_RESPONSE_NOT_ASSUMED_STATIONARY	YES	DIAGNOSTIC_NOT_FULL_BRANCH_SEARCH	YES_OFF_EXISTING_ADIABATIC_PATH	Use exact accepted seed independently; set both dihedrals offline under graph-preserving rotation and full geometry/grammar/hash gates in a future execution package. No rotated coordinates or launches prepared here.	D 16 14 15 1; D 14 15 1 11; both target angles fixed; other DOF relaxed	PROPOSED_NOT_AUTHORIZED
JOINT_CC090_CS020	90	20	HELD_OUT_VALIDATION	T_CC_090	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_24run_20260925_v6/T_CC_090/T_CC_090.chk	2f76f7a4c24f7b8d400a633a75316a3911aed7d00e569368191fa828efa10718	90.00019699894702	74.54257000259075	Prespecified mixed junction response off adiabatic valley; no result-dependent selection	alternate CC basin/transition region; CS=20 interior off-valley	NO	MIXED_RESPONSE_NOT_ASSUMED_STATIONARY	YES	DIAGNOSTIC_NOT_FULL_BRANCH_SEARCH	YES_OFF_EXISTING_ADIABATIC_PATH	Use exact accepted seed independently; set both dihedrals offline under graph-preserving rotation and full geometry/grammar/hash gates in a future execution package. No rotated coordinates or launches prepared here.	D 16 14 15 1; D 14 15 1 11; both target angles fixed; other DOF relaxed	PROPOSED_NOT_AUTHORIZED
JOINT_CC090_CS100	90	100	HELD_OUT_VALIDATION	T_CC_090	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_24run_20260925_v6/T_CC_090/T_CC_090.chk	2f76f7a4c24f7b8d400a633a75316a3911aed7d00e569368191fa828efa10718	90.00019699894702	74.54257000259075	Prespecified mixed junction response off adiabatic valley; no result-dependent selection	alternate CC basin/transition region; CS=100 interior off-valley	NO	MIXED_RESPONSE_NOT_ASSUMED_STATIONARY	YES	DIAGNOSTIC_NOT_FULL_BRANCH_SEARCH	YES_OFF_EXISTING_ADIABATIC_PATH	Use exact accepted seed independently; set both dihedrals offline under graph-preserving rotation and full geometry/grammar/hash gates in a future execution package. No rotated coordinates or launches prepared here.	D 16 14 15 1; D 14 15 1 11; both target angles fixed; other DOF relaxed	PROPOSED_NOT_AUTHORIZED
JOINT_CC210_CS020	210	20	HELD_OUT_VALIDATION	T_CC_210	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_210.g96	ff7ba181ddce36b5fec269c010000630a05fa87e61843c9cb6ae5b286660aa06	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_210/T_CC_210.chk	4eabaf3cedf832b6fa19108966b19bcabbd747ee2b686b4a682dbb384edf6c47	-150.00009928563182	70.81302379285327	Prespecified mixed junction response off adiabatic valley; no result-dependent selection	alternate CC basin/transition region; CS=20 interior off-valley	NO	MIXED_RESPONSE_NOT_ASSUMED_STATIONARY	YES	DIAGNOSTIC_NOT_FULL_BRANCH_SEARCH	YES_OFF_EXISTING_ADIABATIC_PATH	Use exact accepted seed independently; set both dihedrals offline under graph-preserving rotation and full geometry/grammar/hash gates in a future execution package. No rotated coordinates or launches prepared here.	D 16 14 15 1; D 14 15 1 11; both target angles fixed; other DOF relaxed	PROPOSED_NOT_AUTHORIZED
JOINT_CC210_CS100	210	100	HELD_OUT_VALIDATION	T_CC_210	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_210.g96	ff7ba181ddce36b5fec269c010000630a05fa87e61843c9cb6ae5b286660aa06	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_210/T_CC_210.chk	4eabaf3cedf832b6fa19108966b19bcabbd747ee2b686b4a682dbb384edf6c47	-150.00009928563182	70.81302379285327	Prespecified mixed junction response off adiabatic valley; no result-dependent selection	alternate CC basin/transition region; CS=100 interior off-valley	NO	MIXED_RESPONSE_NOT_ASSUMED_STATIONARY	YES	DIAGNOSTIC_NOT_FULL_BRANCH_SEARCH	YES_OFF_EXISTING_ADIABATIC_PATH	Use exact accepted seed independently; set both dihedrals offline under graph-preserving rotation and full geometry/grammar/hash gates in a future execution package. No rotated coordinates or launches prepared here.	D 16 14 15 1; D 14 15 1 11; both target angles fixed; other DOF relaxed	PROPOSED_NOT_AUTHORIZED
