variable_i	variable_j	C_supported_subspace_ij	correlation_if_null_resolved	null_projection_i	null_projection_j	both_coordinates_resolved	interpretation
R_OG2P1-SG3O1	R_OG2P1-SG3O1	0.7274215504241979		0.004620848264497678	0.004620848264497678	False	unit-normalized response covariance proxy; not statistical covariance
R_OG2P1-SG3O1	R_CG312-SG3O1	0.04933679794434647		0.004620848264497678	0.013449485630511055	False	unit-normalized response covariance proxy; not statistical covariance
R_OG2P1-SG3O1	R_CG312-CG312	-0.007671284218050473		0.004620848264497678	0.03187557457364874	False	unit-normalized response covariance proxy; not statistical covariance
R_OG2P1-SG3O1	R_CG302-CG312	-0.016085569793879387		0.004620848264497678	0.01260007417700147	False	unit-normalized response covariance proxy; not statistical covariance
R_OG2P1-SG3O1	TH_OG2P1-SG3O1-OG2P1	0.3091334708204231		0.004620848264497678	0.024821951702541263	False	unit-normalized response covariance proxy; not statistical covariance
R_OG2P1-SG3O1	TH_FGA2-CG312-FGA2	-0.11858371276341195		0.004620848264497678	0.053556255754365345	False	unit-normalized response covariance proxy; not statistical covariance
R_OG2P1-SG3O1	TH_CG312-CG312-SG3O1	0.394767690609146		0.004620848264497678	0.25496668761536767	False	unit-normalized response covariance proxy; not statistical covariance
R_OG2P1-SG3O1	TH_FGA3-CG302-FGA3	0.054700150746867245		0.004620848264497678	0.045974981416027	False	unit-normalized response covariance proxy; not statistical covariance
R_OG2P1-SG3O1	LAMBDA_CS	0.04046296596184649		0.004620848264497678	0.028570542772814997	False	unit-normalized response covariance proxy; not statistical covariance
R_OG2P1-SG3O1	LAMBDA_CC	-0.10820699328267461		0.004620848264497678	0.9629125383611354	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-SG3O1	R_OG2P1-SG3O1	0.049336797944346485		0.013449485630511055	0.004620848264497678	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-SG3O1	R_CG312-SG3O1	1.2002947327020212		0.013449485630511055	0.013449485630511055	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-SG3O1	R_CG312-CG312	0.13911397972158684		0.013449485630511055	0.03187557457364874	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-SG3O1	R_CG302-CG312	0.018835064116050564		0.013449485630511055	0.01260007417700147	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-SG3O1	TH_OG2P1-SG3O1-OG2P1	-0.4408050666312559		0.013449485630511055	0.024821951702541263	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-SG3O1	TH_FGA2-CG312-FGA2	-0.17292687961670902		0.013449485630511055	0.053556255754365345	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-SG3O1	TH_CG312-CG312-SG3O1	1.2231284424754145		0.013449485630511055	0.25496668761536767	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-SG3O1	TH_FGA3-CG302-FGA3	0.005611889905128209		0.013449485630511055	0.045974981416027	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-SG3O1	LAMBDA_CS	0.8083472248994208		0.013449485630511055	0.028570542772814997	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-SG3O1	LAMBDA_CC	-0.3484573459792039		0.013449485630511055	0.9629125383611354	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-CG312	R_OG2P1-SG3O1	-0.007671284218050459		0.03187557457364874	0.004620848264497678	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-CG312	R_CG312-SG3O1	0.13911397972158684		0.03187557457364874	0.013449485630511055	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-CG312	R_CG312-CG312	0.526769865261324		0.03187557457364874	0.03187557457364874	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-CG312	R_CG302-CG312	-0.0023928854962931927		0.03187557457364874	0.01260007417700147	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-CG312	TH_OG2P1-SG3O1-OG2P1	-0.1600824775308797		0.03187557457364874	0.024821951702541263	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-CG312	TH_FGA2-CG312-FGA2	0.047166749221745984		0.03187557457364874	0.053556255754365345	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-CG312	TH_CG312-CG312-SG3O1	0.29971784299521265		0.03187557457364874	0.25496668761536767	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-CG312	TH_FGA3-CG302-FGA3	0.16922784871350244		0.03187557457364874	0.045974981416027	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-CG312	LAMBDA_CS	0.234044066852802		0.03187557457364874	0.028570542772814997	False	unit-normalized response covariance proxy; not statistical covariance
R_CG312-CG312	LAMBDA_CC	-0.09603531054474941		0.03187557457364874	0.9629125383611354	False	unit-normalized response covariance proxy; not statistical covariance
R_CG302-CG312	R_OG2P1-SG3O1	-0.016085569793879373		0.01260007417700147	0.004620848264497678	False	unit-normalized response covariance proxy; not statistical covariance
R_CG302-CG312	R_CG312-SG3O1	0.018835064116050564		0.01260007417700147	0.013449485630511055	False	unit-normalized response covariance proxy; not statistical covariance
R_CG302-CG312	R_CG312-CG312	-0.0023928854962931905		0.01260007417700147	0.03187557457364874	False	unit-normalized response covariance proxy; not statistical covariance
R_CG302-CG312	R_CG302-CG312	0.6379001405289924		0.01260007417700147	0.01260007417700147	False	unit-normalized response covariance proxy; not statistical covariance
R_CG302-CG312	TH_OG2P1-SG3O1-OG2P1	-0.16613343256257823		0.01260007417700147	0.024821951702541263	False	unit-normalized response covariance proxy; not statistical covariance
R_CG302-CG312	TH_FGA2-CG312-FGA2	-0.004375063778748747		0.01260007417700147	0.053556255754365345	False	unit-normalized response covariance proxy; not statistical covariance
R_CG302-CG312	TH_CG312-CG312-SG3O1	-0.12014415147763063		0.01260007417700147	0.25496668761536767	False	unit-normalized response covariance proxy; not statistical covariance
R_CG302-CG312	TH_FGA3-CG302-FGA3	-0.1914629657977995		0.01260007417700147	0.045974981416027	False	unit-normalized response covariance proxy; not statistical covariance
R_CG302-CG312	LAMBDA_CS	0.10517246104196609		0.01260007417700147	0.028570542772814997	False	unit-normalized response covariance proxy; not statistical covariance
R_CG302-CG312	LAMBDA_CC	0.015622578154385731		0.01260007417700147	0.9629125383611354	False	unit-normalized response covariance proxy; not statistical covariance
TH_OG2P1-SG3O1-OG2P1	R_OG2P1-SG3O1	0.3091334708204231		0.024821951702541263	0.004620848264497678	False	unit-normalized response covariance proxy; not statistical covariance
TH_OG2P1-SG3O1-OG2P1	R_CG312-SG3O1	-0.44080506663125585		0.024821951702541263	0.013449485630511055	False	unit-normalized response covariance proxy; not statistical covariance
TH_OG2P1-SG3O1-OG2P1	R_CG312-CG312	-0.1600824775308797		0.024821951702541263	0.03187557457364874	False	unit-normalized response covariance proxy; not statistical covariance
TH_OG2P1-SG3O1-OG2P1	R_CG302-CG312	-0.16613343256257823		0.024821951702541263	0.01260007417700147	False	unit-normalized response covariance proxy; not statistical covariance
TH_OG2P1-SG3O1-OG2P1	TH_OG2P1-SG3O1-OG2P1	5.748792053241792		0.024821951702541263	0.024821951702541263	False	unit-normalized response covariance proxy; not statistical covariance
TH_OG2P1-SG3O1-OG2P1	TH_FGA2-CG312-FGA2	0.24821349763796416		0.024821951702541263	0.053556255754365345	False	unit-normalized response covariance proxy; not statistical covariance
TH_OG2P1-SG3O1-OG2P1	TH_CG312-CG312-SG3O1	-0.13744239287444313		0.024821951702541263	0.25496668761536767	False	unit-normalized response covariance proxy; not statistical covariance
TH_OG2P1-SG3O1-OG2P1	TH_FGA3-CG302-FGA3	0.534364453119313		0.024821951702541263	0.045974981416027	False	unit-normalized response covariance proxy; not statistical covariance
TH_OG2P1-SG3O1-OG2P1	LAMBDA_CS	-3.2260969993491906		0.024821951702541263	0.028570542772814997	False	unit-normalized response covariance proxy; not statistical covariance
TH_OG2P1-SG3O1-OG2P1	LAMBDA_CC	0.00777692913759599		0.024821951702541263	0.9629125383611354	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA2-CG312-FGA2	R_OG2P1-SG3O1	-0.11858371276341195		0.053556255754365345	0.004620848264497678	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA2-CG312-FGA2	R_CG312-SG3O1	-0.17292687961670902		0.053556255754365345	0.013449485630511055	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA2-CG312-FGA2	R_CG312-CG312	0.04716674922174598		0.053556255754365345	0.03187557457364874	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA2-CG312-FGA2	R_CG302-CG312	-0.004375063778748752		0.053556255754365345	0.01260007417700147	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA2-CG312-FGA2	TH_OG2P1-SG3O1-OG2P1	0.24821349763796416		0.053556255754365345	0.024821951702541263	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA2-CG312-FGA2	TH_FGA2-CG312-FGA2	1.1258322411400543		0.053556255754365345	0.053556255754365345	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA2-CG312-FGA2	TH_CG312-CG312-SG3O1	1.472539001838238		0.053556255754365345	0.25496668761536767	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA2-CG312-FGA2	TH_FGA3-CG302-FGA3	-0.12048236610952054		0.053556255754365345	0.045974981416027	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA2-CG312-FGA2	LAMBDA_CS	-0.5946583295491825		0.053556255754365345	0.028570542772814997	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA2-CG312-FGA2	LAMBDA_CC	-0.445553409023108		0.053556255754365345	0.9629125383611354	False	unit-normalized response covariance proxy; not statistical covariance
TH_CG312-CG312-SG3O1	R_OG2P1-SG3O1	0.39476769060914596		0.25496668761536767	0.004620848264497678	False	unit-normalized response covariance proxy; not statistical covariance
TH_CG312-CG312-SG3O1	R_CG312-SG3O1	1.2231284424754143		0.25496668761536767	0.013449485630511055	False	unit-normalized response covariance proxy; not statistical covariance
TH_CG312-CG312-SG3O1	R_CG312-CG312	0.2997178429952126		0.25496668761536767	0.03187557457364874	False	unit-normalized response covariance proxy; not statistical covariance
TH_CG312-CG312-SG3O1	R_CG302-CG312	-0.12014415147763063		0.25496668761536767	0.01260007417700147	False	unit-normalized response covariance proxy; not statistical covariance
TH_CG312-CG312-SG3O1	TH_OG2P1-SG3O1-OG2P1	-0.13744239287444307		0.25496668761536767	0.024821951702541263	False	unit-normalized response covariance proxy; not statistical covariance
TH_CG312-CG312-SG3O1	TH_FGA2-CG312-FGA2	1.4725390018382378		0.25496668761536767	0.053556255754365345	False	unit-normalized response covariance proxy; not statistical covariance
TH_CG312-CG312-SG3O1	TH_CG312-CG312-SG3O1	11.046231621096393		0.25496668761536767	0.25496668761536767	False	unit-normalized response covariance proxy; not statistical covariance
TH_CG312-CG312-SG3O1	TH_FGA3-CG302-FGA3	1.116731496314554		0.25496668761536767	0.045974981416027	False	unit-normalized response covariance proxy; not statistical covariance
TH_CG312-CG312-SG3O1	LAMBDA_CS	0.2905474940710068		0.25496668761536767	0.028570542772814997	False	unit-normalized response covariance proxy; not statistical covariance
TH_CG312-CG312-SG3O1	LAMBDA_CC	-2.985885958002859		0.25496668761536767	0.9629125383611354	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA3-CG302-FGA3	R_OG2P1-SG3O1	0.054700150746867245		0.045974981416027	0.004620848264497678	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA3-CG302-FGA3	R_CG312-SG3O1	0.005611889905128176		0.045974981416027	0.013449485630511055	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA3-CG302-FGA3	R_CG312-CG312	0.16922784871350247		0.045974981416027	0.03187557457364874	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA3-CG302-FGA3	R_CG302-CG312	-0.19146296579779953		0.045974981416027	0.01260007417700147	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA3-CG302-FGA3	TH_OG2P1-SG3O1-OG2P1	0.534364453119313		0.045974981416027	0.024821951702541263	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA3-CG302-FGA3	TH_FGA2-CG312-FGA2	-0.12048236610952057		0.045974981416027	0.053556255754365345	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA3-CG302-FGA3	TH_CG312-CG312-SG3O1	1.1167314963145543		0.045974981416027	0.25496668761536767	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA3-CG302-FGA3	TH_FGA3-CG302-FGA3	5.11379255412734		0.045974981416027	0.045974981416027	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA3-CG302-FGA3	LAMBDA_CS	-0.1715312096881324		0.045974981416027	0.028570542772814997	False	unit-normalized response covariance proxy; not statistical covariance
TH_FGA3-CG302-FGA3	LAMBDA_CC	-0.05695583003109193		0.045974981416027	0.9629125383611354	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CS	R_OG2P1-SG3O1	0.04046296596184647		0.028570542772814997	0.004620848264497678	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CS	R_CG312-SG3O1	0.8083472248994208		0.028570542772814997	0.013449485630511055	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CS	R_CG312-CG312	0.23404406685280202		0.028570542772814997	0.03187557457364874	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CS	R_CG302-CG312	0.10517246104196612		0.028570542772814997	0.01260007417700147	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CS	TH_OG2P1-SG3O1-OG2P1	-3.226096999349191		0.028570542772814997	0.024821951702541263	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CS	TH_FGA2-CG312-FGA2	-0.5946583295491825		0.028570542772814997	0.053556255754365345	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CS	TH_CG312-CG312-SG3O1	0.2905474940710067		0.028570542772814997	0.25496668761536767	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CS	TH_FGA3-CG302-FGA3	-0.17153120968813246		0.028570542772814997	0.045974981416027	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CS	LAMBDA_CS	3.670182915496763		0.028570542772814997	0.028570542772814997	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CS	LAMBDA_CC	-0.0983929386856285		0.028570542772814997	0.9629125383611354	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CC	R_OG2P1-SG3O1	-0.10820699328267461		0.9629125383611354	0.004620848264497678	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CC	R_CG312-SG3O1	-0.3484573459792039		0.9629125383611354	0.013449485630511055	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CC	R_CG312-CG312	-0.0960353105447494		0.9629125383611354	0.03187557457364874	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CC	R_CG302-CG312	0.01562257815438573		0.9629125383611354	0.01260007417700147	False	unit-normalized response covariance proxy; not statistical covariance
LAMBDA_CC	TH_OG2P1-SG3O1-OG2P1	0.007776929137595985		0.9629125383611354	0.024821951702541263	False	unit-normalized response covariance proxy; not statistical covariance
